/usr/bin/python3.5 /home/david/PycharmProjects/TestPycharm/questionSoftmax0816.py
Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
WARNING:tensorflow:From /usr/local/lib/python3.5/dist-packages/tensorflow/python/util/tf_should_use.py:175: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
2017-10-16 14:58:00.010721: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
step 924, training accuracy :0.96
step 925, training accuracy :1.0
step 926, training accuracy :0.94
step 927, training accuracy :0.9
step 928, training accuracy :0.98
step 929, training accuracy :1.0
step 930, training accuracy :0.9
step 931, training accuracy :0.92
step 932, training accuracy :0.94
step 933, training accuracy :0.92
step 934, training accuracy :0.94
step 935, training accuracy :0.94
step 936, training accuracy :0.92
step 937, training accuracy :0.96
step 938, training accuracy :0.9
step 939, training accuracy :0.96
step 940, training accuracy :0.96
step 941, training accuracy :0.98
step 942, training accuracy :0.98
step 943, training accuracy :0.92
step 944, training accuracy :0.96
step 945, training accuracy :0.98
step 946, training accuracy :0.98
step 947, training accuracy :0.98
step 948, training accuracy :0.96
step 949, training accuracy :0.92
step 950, training accuracy :0.92
step 951, training accuracy :0.96
step 952, training accuracy :0.96
step 953, training accuracy :0.92
step 954, training accuracy :0.92
step 955, training accuracy :0.96
step 956, training accuracy :0.98
step 957, training accuracy :0.96
step 958, training accuracy :0.94
step 959, training accuracy :0.9
step 960, training accuracy :0.96
step 961, training accuracy :0.96
step 962, training accuracy :0.9
step 963, training accuracy :0.94
step 964, training accuracy :1.0
step 965, training accuracy :0.94
step 966, training accuracy :0.96
step 967, training accuracy :0.94
step 968, training accuracy :1.0
step 969, training accuracy :0.88
step 970, training accuracy :0.98
step 971, training accuracy :0.96
step 972, training accuracy :0.96
step 973, training accuracy :0.94
step 974, training accuracy :0.98
step 975, training accuracy :0.96
step 976, training accuracy :0.98
step 977, training accuracy :0.96
step 978, training accuracy :0.98
step 979, training accuracy :0.94
step 980, training accuracy :0.94
step 981, training accuracy :0.98
step 982, training accuracy :0.92
step 983, training accuracy :0.96
step 984, training accuracy :0.96
step 985, training accuracy :0.98
step 986, training accuracy :0.96
step 987, training accuracy :0.98
step 988, training accuracy :1.0
step 989, training accuracy :0.94
step 990, training accuracy :0.94
step 991, training accuracy :1.0
step 992, training accuracy :0.98
step 993, training accuracy :0.96
step 994, training accuracy :1.0
step 995, training accuracy :1.0
step 996, training accuracy :0.94
step 997, training accuracy :1.0
step 998, training accuracy :1.0
step 999, training accuracy :0.96
step 1000, training accuracy :0.94
step 1001, training accuracy :0.94
step 1002, training accuracy :0.94
step 1003, training accuracy :0.92
step 1004, training accuracy :0.98
step 1005, training accuracy :0.98
step 1006, training accuracy :0.98
step 1007, training accuracy :0.94
step 1008, training accuracy :0.98
step 1009, training accuracy :0.98
step 1010, training accuracy :0.96
step 1011, training accuracy :0.96
step 1012, training accuracy :0.94
step 1013, training accuracy :0.96
step 1014, training accuracy :0.94
step 1015, training accuracy :0.94
step 1016, training accuracy :1.0
step 1017, training accuracy :0.98
step 1018, training accuracy :0.94
step 1019, training accuracy :0.96
step 1020, training accuracy :0.98
step 1021, training accuracy :0.98
step 1022, training accuracy :0.94
step 1023, training accuracy :0.94
step 1024, training accuracy :0.94
step 1025, training accuracy :0.94
step 1026, training accuracy :0.96
step 1027, training accuracy :0.98
step 1028, training accuracy :0.96
step 1029, training accuracy :0.98
step 1030, training accuracy :0.94
step 1031, training accuracy :0.92
step 1032, training accuracy :0.96
step 1033, training accuracy :0.9
step 1034, training accuracy :0.92
step 1035, training accuracy :0.9
step 1036, training accuracy :0.94
step 1037, training accuracy :0.98
step 1038, training accuracy :0.96
step 1039, training accuracy :1.0
step 1040, training accuracy :0.96
step 1041, training accuracy :0.98
step 1042, training accuracy :1.0
step 1043, training accuracy :0.98
step 1044, training accuracy :0.92
step 1045, training accuracy :0.98
step 1046, training accuracy :1.0
step 1047, training accuracy :0.98
step 1048, training accuracy :0.96
step 1049, training accuracy :0.96
step 1050, training accuracy :0.92
step 1051, training accuracy :0.92
step 1052, training accuracy :0.94
step 1053, training accuracy :0.9
step 1054, training accuracy :1.0
step 1055, training accuracy :0.92
step 1056, training accuracy :0.96
step 1057, training accuracy :0.98
step 1058, training accuracy :0.94
step 1059, training accuracy :0.86
step 1060, training accuracy :0.94
step 1061, training accuracy :0.92
step 1062, training accuracy :0.94
step 1063, training accuracy :0.98
step 1064, training accuracy :0.92
step 1065, training accuracy :0.96
step 1066, training accuracy :0.96
step 1067, training accuracy :0.96
step 1068, training accuracy :0.96
step 1069, training accuracy :0.98
step 1070, training accuracy :0.92
step 1071, training accuracy :0.98
step 1072, training accuracy :0.98
step 1073, training accuracy :0.94
step 1074, training accuracy :0.96
step 1075, training accuracy :0.94
step 1076, training accuracy :0.98
step 1077, training accuracy :0.94
step 1078, training accuracy :0.96
step 1079, training accuracy :0.96
step 1080, training accuracy :0.98
step 1081, training accuracy :0.98
step 1082, training accuracy :0.96
step 1083, training accuracy :0.96
step 1084, training accuracy :0.94
step 1085, training accuracy :0.98
step 1086, training accuracy :0.98
step 1087, training accuracy :0.94
step 1088, training accuracy :1.0
step 1089, training accuracy :1.0
step 1090, training accuracy :0.92
step 1091, training accuracy :0.98
step 1092, training accuracy :0.96
step 1093, training accuracy :0.98
step 1094, training accuracy :0.98
step 1095, training accuracy :0.98
step 1096, training accuracy :0.92
step 1097, training accuracy :0.94
step 1098, training accuracy :0.98
step 1099, training accuracy :0.94
step 1100, training accuracy :1.0
step 1101, training accuracy :0.96
step 1102, training accuracy :0.98
step 1103, training accuracy :0.98
step 1104, training accuracy :0.94
step 1105, training accuracy :0.98
step 1106, training accuracy :0.94
step 1107, training accuracy :0.98
step 1108, training accuracy :0.9
step 1109, training accuracy :0.94
step 1110, training accuracy :0.94
step 1111, training accuracy :0.96
step 1112, training accuracy :0.98
step 1113, training accuracy :0.96
step 1114, training accuracy :0.94
step 1115, training accuracy :1.0
step 1116, training accuracy :0.9
step 1117, training accuracy :0.96
step 1118, training accuracy :0.96
step 1119, training accuracy :0.98
step 1120, training accuracy :0.94
step 1121, training accuracy :0.88
step 1122, training accuracy :0.92
step 1123, training accuracy :0.9
step 1124, training accuracy :0.96
step 1125, training accuracy :1.0
step 1126, training accuracy :0.98
step 1127, training accuracy :0.98
step 1128, training accuracy :0.96
step 1129, training accuracy :0.94
step 1130, training accuracy :0.96
step 1131, training accuracy :0.96
step 1132, training accuracy :0.96
step 1133, training accuracy :0.98
step 1134, training accuracy :0.94
step 1135, training accuracy :0.92
step 1136, training accuracy :0.98
step 1137, training accuracy :0.96
step 1138, training accuracy :1.0
step 1139, training accuracy :0.92
step 1140, training accuracy :1.0
step 1141, training accuracy :0.92
step 1142, training accuracy :0.94
step 1143, training accuracy :1.0
step 1144, training accuracy :0.98
step 1145, training accuracy :0.98
step 1146, training accuracy :0.96
step 1147, training accuracy :0.98
step 1148, training accuracy :0.98
step 1149, training accuracy :0.98
step 1150, training accuracy :0.96
step 1151, training accuracy :0.96
step 1152, training accuracy :0.98
step 1153, training accuracy :0.94
step 1154, training accuracy :0.96
step 1155, training accuracy :1.0
step 1156, training accuracy :0.96
step 1157, training accuracy :0.98
step 1158, training accuracy :0.92
step 1159, training accuracy :0.96
step 1160, training accuracy :0.98
step 1161, training accuracy :0.98
step 1162, training accuracy :0.98
step 1163, training accuracy :0.94
step 1164, training accuracy :1.0
step 1165, training accuracy :0.94
step 1166, training accuracy :0.94
step 1167, training accuracy :1.0
step 1168, training accuracy :0.9
step 1169, training accuracy :0.92
step 1170, training accuracy :0.96
step 1171, training accuracy :0.98
step 1172, training accuracy :0.96
step 1173, training accuracy :0.98
step 1174, training accuracy :0.98
step 1175, training accuracy :0.96
step 1176, training accuracy :0.96
step 1177, training accuracy :0.94
step 1178, training accuracy :0.96
step 1179, training accuracy :1.0
step 1180, training accuracy :0.92
step 1181, training accuracy :0.96
step 1182, training accuracy :0.98
step 1183, training accuracy :0.98
step 1184, training accuracy :0.98
step 1185, training accuracy :0.98
step 1186, training accuracy :1.0
step 1187, training accuracy :1.0
step 1188, training accuracy :0.98
step 1189, training accuracy :1.0
step 1190, training accuracy :0.94
step 1191, training accuracy :0.94
step 1192, training accuracy :0.98
step 1193, training accuracy :1.0
step 1194, training accuracy :0.98
step 1195, training accuracy :0.96
step 1196, training accuracy :0.98
step 1197, training accuracy :0.96
step 1198, training accuracy :1.0
step 1199, training accuracy :0.98
step 1200, training accuracy :0.98
step 1201, training accuracy :0.98
step 1202, training accuracy :0.98
step 1203, training accuracy :0.96
step 1204, training accuracy :1.0
step 1205, training accuracy :0.96
step 1206, training accuracy :0.96
step 1207, training accuracy :0.98
step 1208, training accuracy :0.92
step 1209, training accuracy :0.92
step 1210, training accuracy :0.96
step 1211, training accuracy :0.98
step 1212, training accuracy :0.92
step 1213, training accuracy :0.96
step 1214, training accuracy :0.96
step 1215, training accuracy :0.94
step 1216, training accuracy :0.96
step 1217, training accuracy :0.88
step 1218, training accuracy :0.94
step 1219, training accuracy :0.96
step 1220, training accuracy :0.98
step 1221, training accuracy :1.0
step 1222, training accuracy :0.98
step 1223, training accuracy :0.98
step 1224, training accuracy :0.98
step 1225, training accuracy :0.98
step 1226, training accuracy :0.94
step 1227, training accuracy :0.96
step 1228, training accuracy :0.96
step 1229, training accuracy :0.98
step 1230, training accuracy :0.98
step 1231, training accuracy :0.98
step 1232, training accuracy :0.98
step 1233, training accuracy :0.98
step 1234, training accuracy :0.94
step 1235, training accuracy :0.96
step 1236, training accuracy :0.96
step 1237, training accuracy :0.96
step 1238, training accuracy :0.98
step 1239, training accuracy :0.98
step 1240, training accuracy :0.98
step 1241, training accuracy :0.96
step 1242, training accuracy :1.0
step 1243, training accuracy :0.98
step 1244, training accuracy :0.96
step 1245, training accuracy :0.98
step 1246, training accuracy :0.98
step 1247, training accuracy :0.96
step 1248, training accuracy :0.96
step 1249, training accuracy :1.0
step 1250, training accuracy :0.94
step 1251, training accuracy :0.98
step 1252, training accuracy :0.9
step 1253, training accuracy :0.96
step 1254, training accuracy :1.0
step 1255, training accuracy :0.98
step 1256, training accuracy :1.0
step 1257, training accuracy :0.98
step 1258, training accuracy :0.96
step 1259, training accuracy :0.98
step 1260, training accuracy :0.9
step 1261, training accuracy :0.96
step 1262, training accuracy :0.98
step 1263, training accuracy :0.98
step 1264, training accuracy :1.0
step 1265, training accuracy :0.98
step 1266, training accuracy :0.9
step 1267, training accuracy :0.92
step 1268, training accuracy :0.98
step 1269, training accuracy :1.0
step 1270, training accuracy :0.98
step 1271, training accuracy :0.98
step 1272, training accuracy :0.98
step 1273, training accuracy :0.96
step 1274, training accuracy :0.96
step 1275, training accuracy :0.98
step 1276, training accuracy :0.98
step 1277, training accuracy :0.98
step 1278, training accuracy :0.98
step 1279, training accuracy :0.96
step 1280, training accuracy :1.0
step 1281, training accuracy :1.0
step 1282, training accuracy :0.94
step 1283, training accuracy :0.96
step 1284, training accuracy :0.92
step 1285, training accuracy :0.86
step 1286, training accuracy :0.96
step 1287, training accuracy :1.0
step 1288, training accuracy :1.0
step 1289, training accuracy :0.98
step 1290, training accuracy :0.98
step 1291, training accuracy :1.0
step 1292, training accuracy :0.98
step 1293, training accuracy :0.98
step 1294, training accuracy :0.96
step 1295, training accuracy :1.0
step 1296, training accuracy :1.0
step 1297, training accuracy :0.96
step 1298, training accuracy :1.0
step 1299, training accuracy :0.98
step 1300, training accuracy :0.94
step 1301, training accuracy :0.92
step 1302, training accuracy :0.94
step 1303, training accuracy :0.94
step 1304, training accuracy :0.96
step 1305, training accuracy :0.98
step 1306, training accuracy :0.98
step 1307, training accuracy :0.98
step 1308, training accuracy :0.94
step 1309, training accuracy :0.98
step 1310, training accuracy :0.96
step 1311, training accuracy :0.96
step 1312, training accuracy :0.94
step 1313, training accuracy :0.94
step 1314, training accuracy :1.0
step 1315, training accuracy :0.98
step 1316, training accuracy :0.94
step 1317, training accuracy :0.94
step 1318, training accuracy :0.96
step 1319, training accuracy :0.9
step 1320, training accuracy :0.98
step 1321, training accuracy :0.98
step 1322, training accuracy :0.96
step 1323, training accuracy :0.92
step 1324, training accuracy :0.98
step 1325, training accuracy :0.98
step 1326, training accuracy :0.98
step 1327, training accuracy :0.94
step 1328, training accuracy :0.94
step 1329, training accuracy :0.92
step 1330, training accuracy :0.98
step 1331, training accuracy :0.98
step 1332, training accuracy :0.94
step 1333, training accuracy :0.98
step 1334, training accuracy :0.96
step 1335, training accuracy :0.92
step 1336, training accuracy :0.96
step 1337, training accuracy :0.94
step 1338, training accuracy :0.98
step 1339, training accuracy :0.98
step 1340, training accuracy :0.98
step 1341, training accuracy :0.98
step 1342, training accuracy :0.92
step 1343, training accuracy :0.98
step 1344, training accuracy :0.94
step 1345, training accuracy :0.98
step 1346, training accuracy :1.0
step 1347, training accuracy :0.98
step 1348, training accuracy :1.0
step 1349, training accuracy :0.98
step 1350, training accuracy :1.0
step 1351, training accuracy :0.98
step 1352, training accuracy :0.92
step 1353, training accuracy :0.98
step 1354, training accuracy :0.96
step 1355, training accuracy :0.96
step 1356, training accuracy :0.98
step 1357, training accuracy :0.94
step 1358, training accuracy :0.96
step 1359, training accuracy :0.96
step 1360, training accuracy :0.96
step 1361, training accuracy :0.94
step 1362, training accuracy :0.98
step 1363, training accuracy :0.98
step 1364, training accuracy :0.96
step 1365, training accuracy :0.98
step 1366, training accuracy :0.94
step 1367, training accuracy :0.92
step 1368, training accuracy :0.96
step 1369, training accuracy :0.94
step 1370, training accuracy :0.98
step 1371, training accuracy :0.94
step 1372, training accuracy :0.94
step 1373, training accuracy :1.0
step 1374, training accuracy :0.96
step 1375, training accuracy :0.96
step 1376, training accuracy :0.92
step 1377, training accuracy :0.96
step 1378, training accuracy :1.0
step 1379, training accuracy :0.86
step 1380, training accuracy :0.94
step 1381, training accuracy :0.96
step 1382, training accuracy :0.98
step 1383, training accuracy :0.98
step 1384, training accuracy :0.96
step 1385, training accuracy :0.94
step 1386, training accuracy :0.98
step 1387, training accuracy :1.0
step 1388, training accuracy :0.98
step 1389, training accuracy :0.98
step 1390, training accuracy :1.0
step 1391, training accuracy :0.98
step 1392, training accuracy :0.96
step 1393, training accuracy :0.94
step 1394, training accuracy :0.96
step 1395, training accuracy :0.98
step 1396, training accuracy :0.94
step 1397, training accuracy :0.98
step 1398, training accuracy :0.96
step 1399, training accuracy :0.94
step 1400, training accuracy :0.96
step 1401, training accuracy :1.0
step 1402, training accuracy :0.96
step 1403, training accuracy :1.0
step 1404, training accuracy :0.98
step 1405, training accuracy :0.96
step 1406, training accuracy :1.0
step 1407, training accuracy :1.0
step 1408, training accuracy :0.94
step 1409, training accuracy :0.96
step 1410, training accuracy :0.94
step 1411, training accuracy :1.0
step 1412, training accuracy :0.94
step 1413, training accuracy :0.94
step 1414, training accuracy :0.94
step 1415, training accuracy :0.94
step 1416, training accuracy :0.96
step 1417, training accuracy :0.9
step 1418, training accuracy :0.92
step 1419, training accuracy :0.9
step 1420, training accuracy :0.98
step 1421, training accuracy :0.98
step 1422, training accuracy :0.9
step 1423, training accuracy :0.9
step 1424, training accuracy :1.0
step 1425, training accuracy :0.98
step 1426, training accuracy :0.98
step 1427, training accuracy :0.98
step 1428, training accuracy :0.96
step 1429, training accuracy :0.96
step 1430, training accuracy :0.88
step 1431, training accuracy :0.96
step 1432, training accuracy :0.96
step 1433, training accuracy :0.98
step 1434, training accuracy :0.98
step 1435, training accuracy :0.98
step 1436, training accuracy :0.98
step 1437, training accuracy :1.0
step 1438, training accuracy :0.98
step 1439, training accuracy :0.94
step 1440, training accuracy :1.0
step 1441, training accuracy :0.96
step 1442, training accuracy :0.98
step 1443, training accuracy :0.98
step 1444, training accuracy :0.96
step 1445, training accuracy :0.94
step 1446, training accuracy :0.98
step 1447, training accuracy :1.0
step 1448, training accuracy :0.98
step 1449, training accuracy :0.94
step 1450, training accuracy :0.96
step 1451, training accuracy :0.98
step 1452, training accuracy :0.98
step 1453, training accuracy :0.96
step 1454, training accuracy :0.92
step 1455, training accuracy :0.96
step 1456, training accuracy :0.98
step 1457, training accuracy :0.92
step 1458, training accuracy :0.96
step 1459, training accuracy :0.98
step 1460, training accuracy :1.0
step 1461, training accuracy :0.94
step 1462, training accuracy :0.98
step 1463, training accuracy :0.96
step 1464, training accuracy :0.92
step 1465, training accuracy :1.0
step 1466, training accuracy :0.96
step 1467, training accuracy :1.0
step 1468, training accuracy :0.96
step 1469, training accuracy :0.98
step 1470, training accuracy :0.94
step 1471, training accuracy :0.98
step 1472, training accuracy :0.94
step 1473, training accuracy :0.98
step 1474, training accuracy :0.96
step 1475, training accuracy :0.98
step 1476, training accuracy :0.9
step 1477, training accuracy :0.98
step 1478, training accuracy :0.94
step 1479, training accuracy :0.98
step 1480, training accuracy :0.98
step 1481, training accuracy :0.98
step 1482, training accuracy :0.98
step 1483, training accuracy :0.96
step 1484, training accuracy :0.92
step 1485, training accuracy :1.0
step 1486, training accuracy :0.98
step 1487, training accuracy :1.0
step 1488, training accuracy :0.98
step 1489, training accuracy :1.0
step 1490, training accuracy :0.96
step 1491, training accuracy :1.0
step 1492, training accuracy :0.9
step 1493, training accuracy :0.96
step 1494, training accuracy :1.0
step 1495, training accuracy :0.96
step 1496, training accuracy :0.98
step 1497, training accuracy :0.96
step 1498, training accuracy :0.96
step 1499, training accuracy :0.94
step 1500, training accuracy :1.0
step 1501, training accuracy :0.98
step 1502, training accuracy :0.98
step 1503, training accuracy :0.98
step 1504, training accuracy :0.94
step 1505, training accuracy :0.94
step 1506, training accuracy :0.96
step 1507, training accuracy :0.94
step 1508, training accuracy :1.0
step 1509, training accuracy :0.96
step 1510, training accuracy :0.98
step 1511, training accuracy :0.98
step 1512, training accuracy :0.98
step 1513, training accuracy :0.98
step 1514, training accuracy :0.96
step 1515, training accuracy :0.98
step 1516, training accuracy :1.0
step 1517, training accuracy :1.0
step 1518, training accuracy :0.98
step 1519, training accuracy :0.94
step 1520, training accuracy :0.98
step 1521, training accuracy :0.98
step 1522, training accuracy :0.98
step 1523, training accuracy :0.96
step 1524, training accuracy :0.98
step 1525, training accuracy :0.98
step 1526, training accuracy :0.96
step 1527, training accuracy :0.96
step 1528, training accuracy :0.96
step 1529, training accuracy :0.96
step 1530, training accuracy :0.92
step 1531, training accuracy :0.96
step 1532, training accuracy :1.0
step 1533, training accuracy :0.92
step 1534, training accuracy :0.98
step 1535, training accuracy :0.98
step 1536, training accuracy :1.0
step 1537, training accuracy :0.98
step 1538, training accuracy :1.0
step 1539, training accuracy :1.0
step 1540, training accuracy :0.96
step 1541, training accuracy :1.0
step 1542, training accuracy :1.0
step 1543, training accuracy :0.96
step 1544, training accuracy :0.98
step 1545, training accuracy :0.96
step 1546, training accuracy :0.94
step 1547, training accuracy :0.98
step 1548, training accuracy :0.98
step 1549, training accuracy :0.92
step 1550, training accuracy :0.98
step 1551, training accuracy :0.96
step 1552, training accuracy :0.94
step 1553, training accuracy :1.0
step 1554, training accuracy :0.94
step 1555, training accuracy :1.0
step 1556, training accuracy :0.98
step 1557, training accuracy :0.96
step 1558, training accuracy :1.0
step 1559, training accuracy :0.94
step 1560, training accuracy :0.98
step 1561, training accuracy :0.96
step 1562, training accuracy :1.0
step 1563, training accuracy :0.96
step 1564, training accuracy :0.98
step 1565, training accuracy :0.96
step 1566, training accuracy :1.0
step 1567, training accuracy :0.98
step 1568, training accuracy :0.96
step 1569, training accuracy :0.94
step 1570, training accuracy :0.96
step 1571, training accuracy :0.96
step 1572, training accuracy :0.98
step 1573, training accuracy :0.96
step 1574, training accuracy :0.98
step 1575, training accuracy :0.96
step 1576, training accuracy :0.98
step 1577, training accuracy :0.98
step 1578, training accuracy :0.98
step 1579, training accuracy :0.98
step 1580, training accuracy :0.98
step 1581, training accuracy :0.96
step 1582, training accuracy :0.98
step 1583, training accuracy :0.96
step 1584, training accuracy :0.98
step 1585, training accuracy :0.94
step 1586, training accuracy :0.94
step 1587, training accuracy :0.98
step 1588, training accuracy :0.98
step 1589, training accuracy :0.92
step 1590, training accuracy :0.96
step 1591, training accuracy :0.96
step 1592, training accuracy :0.98
step 1593, training accuracy :0.98
step 1594, training accuracy :0.96
step 1595, training accuracy :0.98
step 1596, training accuracy :1.0
step 1597, training accuracy :0.96
step 1598, training accuracy :0.92
step 1599, training accuracy :0.98
step 1600, training accuracy :1.0
step 1601, training accuracy :0.98
step 1602, training accuracy :1.0
step 1603, training accuracy :0.98
step 1604, training accuracy :1.0
step 1605, training accuracy :0.96
step 1606, training accuracy :0.94
step 1607, training accuracy :0.96
step 1608, training accuracy :0.98
step 1609, training accuracy :1.0
step 1610, training accuracy :0.98
step 1611, training accuracy :0.96
step 1612, training accuracy :0.92
step 1613, training accuracy :0.94
step 1614, training accuracy :0.98
step 1615, training accuracy :0.92
step 1616, training accuracy :0.96
step 1617, training accuracy :0.94
step 1618, training accuracy :0.98
step 1619, training accuracy :0.96
step 1620, training accuracy :0.96
step 1621, training accuracy :0.96
step 1622, training accuracy :0.94
step 1623, training accuracy :1.0
step 1624, training accuracy :0.94
step 1625, training accuracy :1.0
step 1626, training accuracy :0.98
step 1627, training accuracy :0.98
step 1628, training accuracy :0.98
step 1629, training accuracy :0.98
step 1630, training accuracy :0.98
step 1631, training accuracy :1.0
step 1632, training accuracy :0.96
step 1633, training accuracy :1.0
step 1634, training accuracy :0.98
step 1635, training accuracy :0.98
step 1636, training accuracy :0.96
step 1637, training accuracy :0.9
step 1638, training accuracy :0.96
step 1639, training accuracy :0.96
step 1640, training accuracy :0.96
step 1641, training accuracy :0.98
step 1642, training accuracy :0.98
step 1643, training accuracy :0.96
step 1644, training accuracy :0.96
step 1645, training accuracy :0.98
step 1646, training accuracy :0.98
step 1647, training accuracy :0.94
step 1648, training accuracy :0.94
step 1649, training accuracy :0.92
step 1650, training accuracy :0.96
step 1651, training accuracy :0.92
step 1652, training accuracy :0.96
step 1653, training accuracy :0.98
step 1654, training accuracy :0.94
step 1655, training accuracy :0.94
step 1656, training accuracy :0.94
step 1657, training accuracy :0.96
step 1658, training accuracy :0.98
step 1659, training accuracy :0.98
step 1660, training accuracy :0.94
step 1661, training accuracy :1.0
step 1662, training accuracy :0.98
step 1663, training accuracy :0.92
step 1664, training accuracy :1.0
step 1665, training accuracy :0.92
step 1666, training accuracy :1.0
step 1667, training accuracy :0.96
step 1668, training accuracy :1.0
step 1669, training accuracy :0.98
step 1670, training accuracy :0.96
step 1671, training accuracy :0.94
step 1672, training accuracy :0.92
step 1673, training accuracy :1.0
step 1674, training accuracy :0.92
step 1675, training accuracy :0.98
step 1676, training accuracy :0.94
step 1677, training accuracy :0.98
step 1678, training accuracy :0.98
step 1679, training accuracy :0.94
step 1680, training accuracy :0.98
step 1681, training accuracy :0.96
step 1682, training accuracy :0.98
step 1683, training accuracy :1.0
step 1684, training accuracy :1.0
step 1685, training accuracy :0.94
step 1686, training accuracy :1.0
step 1687, training accuracy :0.98
step 1688, training accuracy :1.0
step 1689, training accuracy :0.9
step 1690, training accuracy :0.98
step 1691, training accuracy :0.98
step 1692, training accuracy :0.98
step 1693, training accuracy :0.98
step 1694, training accuracy :0.96
step 1695, training accuracy :0.98
step 1696, training accuracy :0.98
step 1697, training accuracy :0.98
step 1698, training accuracy :0.9
step 1699, training accuracy :0.96
step 1700, training accuracy :0.96
step 1701, training accuracy :0.96
step 1702, training accuracy :0.96
step 1703, training accuracy :0.98
step 1704, training accuracy :0.98
step 1705, training accuracy :1.0
step 1706, training accuracy :0.94
step 1707, training accuracy :0.94
step 1708, training accuracy :1.0
step 1709, training accuracy :0.96
step 1710, training accuracy :0.92
step 1711, training accuracy :0.98
step 1712, training accuracy :1.0
step 1713, training accuracy :1.0
step 1714, training accuracy :0.98
step 1715, training accuracy :0.94
step 1716, training accuracy :1.0
step 1717, training accuracy :0.96
step 1718, training accuracy :0.96
step 1719, training accuracy :0.96
step 1720, training accuracy :0.94
step 1721, training accuracy :0.94
step 1722, training accuracy :0.98
step 1723, training accuracy :0.98
step 1724, training accuracy :0.98
step 1725, training accuracy :0.98
step 1726, training accuracy :0.96
step 1727, training accuracy :0.98
step 1728, training accuracy :0.94
step 1729, training accuracy :0.96
step 1730, training accuracy :0.96
step 1731, training accuracy :0.96
step 1732, training accuracy :0.98
step 1733, training accuracy :1.0
step 1734, training accuracy :0.94
step 1735, training accuracy :0.98
step 1736, training accuracy :0.98
step 1737, training accuracy :1.0
step 1738, training accuracy :1.0
step 1739, training accuracy :0.94
step 1740, training accuracy :0.96
step 1741, training accuracy :0.96
step 1742, training accuracy :0.9
step 1743, training accuracy :0.98
step 1744, training accuracy :0.98
step 1745, training accuracy :0.92
step 1746, training accuracy :0.94
step 1747, training accuracy :0.98
step 1748, training accuracy :0.94
step 1749, training accuracy :0.98
step 1750, training accuracy :0.98
step 1751, training accuracy :0.96
step 1752, training accuracy :0.94
step 1753, training accuracy :0.96
step 1754, training accuracy :0.98
step 1755, training accuracy :0.94
step 1756, training accuracy :0.96
step 1757, training accuracy :0.96
step 1758, training accuracy :0.96
step 1759, training accuracy :0.98
step 1760, training accuracy :0.98
step 1761, training accuracy :0.98
step 1762, training accuracy :1.0
step 1763, training accuracy :0.96
step 1764, training accuracy :0.98
step 1765, training accuracy :0.98
step 1766, training accuracy :0.98
step 1767, training accuracy :0.98
step 1768, training accuracy :0.98
step 1769, training accuracy :0.98
step 1770, training accuracy :0.96
step 1771, training accuracy :1.0
step 1772, training accuracy :0.98
step 1773, training accuracy :1.0
step 1774, training accuracy :0.96
step 1775, training accuracy :0.96
step 1776, training accuracy :1.0
step 1777, training accuracy :1.0
step 1778, training accuracy :0.98
step 1779, training accuracy :0.96
step 1780, training accuracy :0.96
step 1781, training accuracy :0.94
step 1782, training accuracy :0.98
step 1783, training accuracy :1.0
step 1784, training accuracy :0.94
step 1785, training accuracy :0.94
step 1786, training accuracy :0.96
step 1787, training accuracy :0.98
step 1788, training accuracy :0.98
step 1789, training accuracy :0.96
step 1790, training accuracy :0.96
step 1791, training accuracy :0.98
step 1792, training accuracy :0.98
step 1793, training accuracy :0.94
step 1794, training accuracy :0.94
step 1795, training accuracy :1.0
step 1796, training accuracy :0.98
step 1797, training accuracy :0.96
step 1798, training accuracy :0.98
step 1799, training accuracy :0.98
step 1800, training accuracy :0.94
step 1801, training accuracy :0.98
step 1802, training accuracy :0.94
step 1803, training accuracy :0.98
step 1804, training accuracy :0.94
step 1805, training accuracy :0.98
step 1806, training accuracy :0.94
step 1807, training accuracy :0.96
step 1808, training accuracy :0.98
step 1809, training accuracy :0.92
step 1810, training accuracy :0.96
step 1811, training accuracy :0.94
step 1812, training accuracy :0.9
step 1813, training accuracy :1.0
step 1814, training accuracy :0.92
step 1815, training accuracy :0.94
step 1816, training accuracy :0.98
step 1817, training accuracy :0.98
step 1818, training accuracy :0.98
step 1819, training accuracy :0.96
step 1820, training accuracy :0.98
step 1821, training accuracy :0.94
step 1822, training accuracy :0.98
step 1823, training accuracy :0.96
step 1824, training accuracy :0.96
step 1825, training accuracy :0.98
step 1826, training accuracy :0.94
step 1827, training accuracy :0.96
step 1828, training accuracy :0.96
step 1829, training accuracy :0.98
step 1830, training accuracy :1.0
step 1831, training accuracy :1.0
step 1832, training accuracy :0.92
step 1833, training accuracy :0.98
step 1834, training accuracy :0.96
step 1835, training accuracy :1.0
step 1836, training accuracy :0.98
